Serial,Time of Reading - Local,Time of Reading - UTC,forwardActiveEnergy Type,forwardActiveEnergy Value,forwardActiveEnergy Consumption(RX:1)
Serial,2023/07/01 0:30,2023/06/30 22:30,TookReading,5306481,8
Serial,2023/07/01 1:00,2023/06/30 23:00,TookReading,5306488,7
Serial,2023/07/01 1:30,2023/06/30 23:30,TookReading,5306496,8
Serial,2023/07/01 2:00,2023/07/01 0:00,TookReading,5306503,7
Serial,2023/07/01 2:30,2023/07/01 0:30,TookReading,5306511,8
Serial,2023/07/01 3:00,2023/07/01 1:00,TookReading,5306518,7
Serial,2023/07/01 3:30,2023/07/01 1:30,TookReading,5306526,8
Serial,2023/07/01 4:00,2023/07/01 2:00,TookReading,5306534,8
Serial,2023/07/01 4:30,2023/07/01 2:30,TookReading,5306541,7
Serial,2023/07/01 5:00,2023/07/01 3:00,TookReading,5306549,8
Serial,2023/07/01 5:30,2023/07/01 3:30,TookReading,5306556,7
7604524236,2023/07/01 6:00,2023/07/01 4:00,TookReading,5306564,8
7604524236,2023/07/01 6:30,2023/07/01 4:30,TookReading,5306571,7
7604524236,2023/07/01 7:00,2023/07/01 5:00,TookReading,5306579,8
7604524236,2023/07/01 7:30,2023/07/01 5:30,TookReading,5306586,7
7604524236,2023/07/01 8:00,2023/07/01 6:00,TookReading,5306594,8
7604524236,2023/07/01 8:30,2023/07/01 6:30,TookReading,5306601,7
7604524236,2023/07/01 9:00,2023/07/01 7:00,TookReading,5306608,7
7604524236,2023/07/01 9:30,2023/07/01 7:30,TookReading,5306616,8
7604524236,2023/07/01 10:00,2023/07/01 8:00,TookReading,5306623,7
7604524236,2023/07/01 10:30,2023/07/01 8:30,TookReading,5306630,7
7604524236,2023/07/01 11:00,2023/07/01 9:00,TookReading,5306638,8
7604524236,2023/07/01 11:30,2023/07/01 9:30,TookReading,5306645,7
7604524236,2023/07/01 12:00,2023/07/01 10:00,TookReading,5306653,8
7604524236,2023/07/01 12:30,2023/07/01 10:30,TookReading,5306660,7
7604524236,2023/07/01 13:00,2023/07/01 11:00,TookReading,5306667,7
7604524236,2023/07/01 13:30,2023/07/01 11:30,TookReading,5306675,8
7604524236,2023/07/01 14:00,2023/07/01 12:00,TookReading,5306682,7
7604524236,2023/07/01 14:30,2023/07/01 12:30,TookReading,5306690,8
7604524236,2023/07/01 15:00,2023/07/01 13:00,TookReading,5306697,7
7604524236,2023/07/01 15:30,2023/07/01 13:30,TookReading,5306705,8
7604524236,2023/07/01 16:00,2023/07/01 14:00,TookReading,5306712,7
7604524236,2023/07/01 16:30,2023/07/01 14:30,TookReading,5306720,8
7604524236,2023/07/01 17:00,2023/07/01 15:00,TookReading,5306727,7
7604524236,2023/07/01 17:30,2023/07/01 15:30,TookReading,5306740,13
